germanic	Germanic
scandinavian	Nordic
british	British
gaelic	Celtic
latin	Latin
iberian	Iberian
french	French
finno_ugric	Ugric
south_slavic	South Slavic
west_slavic	West Slavic
carpathian	Carpathian
east_slavic	East Slavic
slavic	Slavic
baltic	Baltic
byzantine	Byzantine
caucasian	Caucasian
turko_semitic	Levantine
maghrebi	Maghrebi
iranian	Iranian
altaic	Altaic
central_american	Central American
aridoamerican	Aridoamerican
maya	Mayan
otomanguean	Otomanguean
andean_group	Andean
je_tupi	Tupi
je	Je
maranon	Marañón
chibchan	Chibchan
mataco	Matacoan
araucanian	Araucanian
carribean	Caribbean
eskaleut	Eskaleut
central_algonquian	Central Algonquian
plains_algonquian	Plains Algonquian
eastern_algonquian	Eastern Algonquian
iroquoian	Iroquoian
siouan	Siouan
caddoan	Caddoan
muskogean	Muskogean
sonoran	Sonoran
apachean	Apachean
na_dene	Na-Déné
penutian	Penutian
east_asian	Chinese
korean_g	Korean
japanese_g	Japanese
tibetan_group	Tibetan
malay	Malay
thai_group	Tai
southeastasian_group	2 "Mon-Khmer
burman	Burman
pacific	Pacific
aboriginal_australian	Aboriginal
eastern_aryan	Eastern Aryan
hindusthani	Hindustani
western_aryan	Western Aryan
dravidian	Dravidian
central_indic	Central Indian
mande	Mande
sahelian	Sahelian
west_african	West African
southern_african	Southern African
kongo_group	Kongo
great_lakes_group	Great Lakes
african	East Bantu
cushitic	Cushitic
sudanese	Sudanese
evenks	Evenki
kamchatkan_g	Kamchatkan
tartar	Tatar
lost_cultures_group	Lost Cultures
pommeranian	Pomeranian
prussian	Prussian
baltic_german	Balten
lower_saxon	Lower Saxon
hannoverian	Westphalian
hessian	Rhenish
saxon	Saxon
franconian	Franconian
swabian	Swabian
swiss	Swiss
bavarian	Bavarian
austrian	Austrian
dutch	Dutch
flemish	Flemish
frisian	Frisian
swedish	Swedish
danish	Danish
norwegian	Norwegian
finnish	Finnish
sapmi	Sámi
karelian	Karelian
icelandic	Icelandic
norse	Norse
english	English
american	American
welsh	Welsh
cornish	Cornish
scottish	Scottish
irish	Irish
highland_scottish	Highlander
lombard	Lombard
tuscan	Tuscan
sardinian	Sardinian
romagnan	Romagnol
ligurian	Ligurian
venetian	Venetian
dalmatian	Dalmatian
neapolitan	Neapolitan
piedmontese	Piedmontese
umbrian	Umbrian
sicilian	Sicilian
maltese	Maltese
castillian	Castilian
mexican	Mexican
platinean	Platinean
leonese	Leonese
aragonese	Aragonese
catalan	Catalan
galician	Galician
andalucian	Andalusian
portugese	Portuguese
brazilian	Brazilian
basque	Basque
cosmopolitan_french	Francien
gascon	Gascon
normand	Norman
aquitaine	Aquitanian
burgundian	Burgundian
occitain	Occitan
wallonian	Walloon
louisianans	Louisianan
quebecois	Québécois
anglois	Anglois
breton	Breton
uralic	Uralic
samoyed	Samoyed
ostyaki	Ostyak
ingrian	Ingrian
croatian	Croatian
serbian	Serbian
slovene	Slovene
bosnian	Bosnian
bulgarian	Bulgarian
albanian	Albanian
czech	Czech
polish	Polish
schlesian	Silesian
sorbian	Sorbian
slovak	Slovak
transylvanian	Transylvanian
romanian	Romanian
hungarian	Hungarian
russian	Muscovite
novgorodian	Novgorodian
ryazanian	Ryazanian
byelorussian	Byelorussian
ruthenian	Ruthenian
russian_new	Muscovite
novgorodian_new	Novgorodian
ryazanian_new	Ryazanian
byelorussian_new	Byelorussian
ruthenian_new	Ruthenian
slovak_new	Slovak
czech_new	Czech
polish_new	Polish
schlesian_new	Silesian
sorbian_new	Sorbian
croatian_new	Croatian
serbian_new	Serbian
slovene_new	Slovene
bosnian_new	Bosnian
