gme_cappadocia	Cappadocia
gme_mevlana_museum	Mevlana Museum
gme_seljuk_cemetery	Seljuk Cemetery
gme_sumela_monastery	Sumela Monastery
gme_mount_arafat	Mount Arafat
gme_prophet_mosque	Prophet's Mosque
gme_great_palace_constantinople	Great Palace of Constantinople
gme_kruje_castle	Kruje Castle
gme_pec_patriarchate	Pec Patriarchate
gme_smerederevo_fortress	Smerederevo Fortress
gme_walls_ragusa	Walls of Ragusa
gme_dlugi_targ	Dlugi Targ
gme_vilnius_cathedral	Vilnius Cathedral Basilica
gme_blarney_castle	Blarney Castle
gme_chatham_dockyard	Chatham Dockyard
gme_kilkenny_castle	Kilkenny Castle
gme_newgrange_tomb	Newgrange Tomb
gme_patrick_cathedral	St. Patrick's Cathedral
gme_pauls_cathedral	St. Paul's Cathedral
gme_rock_chasel	Rock of Chasel
gme_westminster_palace	Westminster's Palace
gme_chetro_ketl	Chetro Ketl
gme_basilica_estergom	Basilica of Esztergom
gme_eszterhaza	Eszterháza
gme_reformatus_nagytemplom	Református Nagytemplom
gme_derbent_fortifications	Derbent Fortifications
gme_gelati_monastery	Gelati Monastery
gme_narikala	Narikala
gme_noah_mausoleum	Noah Mausoleum
gme_vardzia	Vardzia
gme_elephant_stables	Elephant Stables and Enclosure
gme_market_complex	Market Complex
gme_ynnakh_mountain	Ynnakh Mountain
gme_monastery_saint_antonhy	Monastery of Saint Anthony
gme_saint_mark_coptic_cathedral	Saint Mark Coptic Cathedral
gme_bretagne_castles	Chateau des Ducs de Bretagne
gme_chambord	Chateau de Chambord
gme_chenonceau	Chateau de Chenonceau
gme_mont_michel	Mont Saint-Michel
gme_port_de_moon	Port de la Lune
gme_devil_tower	Devil's Tower
gme_padmasambhava_hidden_valley	Padmasambhava's Hidden Valley
gme_alcazar_segovia	Alcazar of Segovia
gme_al_qasr_al_muriq	Al-Qasr al-Muriq
gme_casa_de_contratacion	Casa de Contratación
gme_cathedral_seville	Cathedral of Sevilla
gme_lonja_seda	Lonja de la Seda
gme_mosque_cathedral	Mosque-Cathedral of Cordoba
gme_rock_gibraltar	Rock of Gibraltar
gme_sagres_school_navigation	Sagres School of Navigation
gme_santa_barbara_castle	Santa Barbara Castle
gme_santiago_compostela	Santiago de Compostela
gme_tierra_castillos	Tierra de Castillos
gme_tower_hercules	Tower of Hercules
gme_altare_patria	Altare della Patria
gme_arsenale_veneziano	Arsenale Veneziano
gme_basilica_san_marco	Basilica di San Marco
gme_basilica_san_nicola	Basilica di San Nicola
gme_castello_estense	Castello Estense
gme_castelvecchio	Castelvecchio
gme_duomo_monreale	Duomo di Monreale
gme_federico_II	Federico II
gme_fori_imperiali	Fori Imperiali
gme_lanterna_genova	Lanterna di Genova
gme_palazzo_pitti	Palazzo Pitti
gme_palazzo_reale	Palazzo Reale di Torino
gme_parramentu_sicilianu	Parramentu Sicilianu
gme_sala_dei_cavalli	Sala dei Cavalli
gme_torre_pisa	Torre di Pisa
