hie_ach_eastern_goods_western_demand	Eastern Goods, Western Demand
hie_ach_grand_court	The Grand Court
hie_ach_assizes_romania	Assizes of Romania
hie_ach_latin_archbishop_patras	Latin Archbishop of Patras
hie_ach_temporal_barons	Temporal Barons
hie_ach_latinized_pronoia	Latinized Pronoia
hie_ach_latin_empire	The Latin Empire
hie_alb_military_conducts	Military Conducts
hie_alb_athleta_christi	Athleta Christi
hie_alb_church_holy_trinity	Church of the Holy Trinity
hie_alb_stratioti	Stratioti
hie_alb_marascallum_regnie_albaniae	Marascallum Regnie Albaniae
hie_alb_legacy_anjou	Legacy of d'Anjou
hie_alb_italian_campaign	Italian Campaign
hie_ath_divine_comedy	Divine Comedy
hie_ath_greek_latin_church	The Greek Latin Church
hie_ath_usages_barcelona	Usages of Barcelona
hie_ath_athens_old	Athens of Old
hie_ath_birthplace_democracy	The Birthplace of Democracy
hie_ath_delian_league	Delian League
hie_ath_modern_hoplites	Modern Hoplites
hie_bos_imperial_law	Imperial Law
hie_bos_caves_kristjani	Caves of the Kristjani
hie_bos_stanak	Stanak
hie_bos_treaties_with_republics	Treaties with the republics
hie_bos_land_princes	Land of the Princes
hie_bos_guaranteed	Guaranteed
hie_bos_bosnian_freedom	Bosnian freedom
hie_bul_slavonic_script	Slavonic Script
hie_bul_fighting_roman_military_art	Fighting the Roman Military Art
hie_bul_ascension_cathedral	Ascension Cathedral 
hie_bul_cuman_fighter	Cuman Fighter
hie_bul_tarnovo_artistic_school	Tarnovo Artistic School
hie_bul_oblast_system	Oblast System
hie_bul_crowned_czar	Crowned Czar
hie_byz_ecumenical_patriarch	Restore the Ecumenical Patriarch
hie_byz_byzantine_renaissance	Byzantine Renaissance
hie_byz_repopulate_countryside	Repopulate the Countryside
hie_byz_administrative_reforms	Administrative Reform
hie_byz_byzantine_bureaucreacy	Byzantine Bureaucracy
hie_byz_merchant_class	Byzantine Merchant Class
hie_byz_new_imperial_army	The New Imperial Army
hie_cep_castles_angels	Castles of the Angels
hie_cep_venetian_ships_greek_sailors	Venetian Ships, Greek Sailors
hie_cep_ancient_training_ground	Ancient Training Grounds
hie_cep_gate_adriatic	Gate to the Adriatic
hie_cep_greko_connections	Greko Connections
hie_cep_birth_new_greece	Birth of the New Greece
hie_cep_pan_hellenism	Pan Hellenism
hie_cro_historia_salonitana	Historia Salonitana
hie_cro_croatian_renaissance	Croatian renaissance
hie_cro_venetian_rivalry	Venetian rivalry
hie_cro_allagions	Allagions
hie_cro_sabor	Sabor
hie_cro_hussars	Hussars
hie_cro_union_with_hungary	Union of with Hungary
hie_crt_new_center_greek_world	The New Center of the Greek World
hie_crt_revolts	The Revolts
hie_crt_venetian_construction	Venetian Construction
hie_crt_new_old_crete	New? Old? We Are Crete
hie_crt_every_port_shipyard	Every Port a Shipyard
hie_crt_ports_chandia_heraklion	Ports of Chandia and Heraklion
hie_crt_venice_east	The Venice of the East, or Is Venice the Crete of the West
hie_epi_despotate_romaniae	Despotes Romaniae
hie_epi_western_orthodox_church	The Western Orthodox Church
hie_epi_latin_weapons_greek_soldiers	Latin Weapons, Greek Soldiers
