REB	Rebels
PIR	Pirates
NAT	Natives
SWE	Sweden
DAN	Denmark
FIN	Finland
GOT	Gotland
NOR	Norway
SHL	Holstein
SCA	Scandinavia
EST	Estonia
LVA	Livonia
SMI	Sapmi
KRL	Karelia
ICE	Iceland
ACH	Achaea
ALB	Albania
ATH	Athens
BOS	Bosnia
BUL	Bulgaria
BYZ	Byzantium
LAE	Latin Empire
CEP	Corfu
CRO	Croatia
CRT	Crete
CYP	Cyprus
DAL	Dalmatia
EPI	Epirus
GRE	Greece
KNI	The Knights
MOE	Morea
MOL	Moldavia
MON	Montenegro
NAX	Naxos
RAG	Ragusa
RMN	Romania
SER	Serbia
TRA	Transylvania
WAL	Wallachia
HUN	Hungary
SLO	Nitra
TUR	Ottomans
CNN	Clanricarde
CRN	Cornwall
ENG	England
LEI	Leinster
IRE	Ireland
MNS	Thomond
SCO	Scotland
TYR	Tyrone
WLS	Wales
NOL	Northumberland
GBR	Great Britain
AVE	Angevin Kingdom
MTH	Meath
ULS	Ulster
DMS	Desmond
SLN	Sligo
KID	Kildare
HSC	Gaeldom
ORD	Ormond
TRY	Tyrconnell
FLY	Offaly
MCM	Munster
KOI	Mann
LOI	The Isles
EIC	East India Company
BRZ	Brazil
CAN	Canada
CHL	Chile
COL	Colombia
HAT	Haiti
LAP	La Plata
LOU	Louisiana
MEX	Mexico
PEU	Peru
PRG	Paraguay
QUE	Quebec
CAM	United Central America
USA	United States
VNZ	Venezuela
AUS	Australia
CAL	California
TEX	Texas
CSC	Cascadia
ALA	Alaska
NZL	Zealandia
ILI	Illinois
FLO	Florida
VRM	Vermont
SNA	Sonora
WSI	West Indies
CUB	Cuba
DNZ	Danzig
KRA	Krakow
LIT	Lithuania
LIT2	Lithuania-New
LIV	Livonian Order
MAZ	Mazovia
POL	Poland
PRU	Prussia
KUR	Kurland
RIG	Riga
TEU	Teutonic Order
PLC	Commonwealth
PLC_LIT	Commonwealth-Lithuania
PLC_POL	Commonwealth-Poland
VOL	Galicia-Volhynia
KIE	Kiev
CHR	Chernigov
OKA	Odoyev
ALE	Alençon
