hlr_imperial_throne	The Imperial Throne
hlr_kaiserliche_armee	Kaiserliche Armee
hlr_imperial_diplomacy	Imperial Diplomacy
hlr_centralised_empire	Centralized Empire
hlr_roman_heritage	Roman Heritage
hlr_adopting_the_goosestep	Adopting the Goosestep
hlr_onwards_and_upwards	Onwards and Upwards
ger_german_confederation	The German Confederation
ger_german_universities	The Universities of Germany
ger_reichsheer	Reichsheer
ger_new_hanseatics	The New Hanseatic League
ger_junkers	German Junkers
ger_reichstag	Reichstag
ger_eisen_und_kohle	Eisen und Kohle
royal_navy	A Royal Navy
eltham_ordinance	The Eltham Ordinance
secretaries_of_state	Secretaries of State
navigation_acts	The Navigation Acts
eng_red_coats	Redcoats
sick_and_hurt_board	The Sick and Hurt Board
british_bill_of_rights	English Bill of Rights
gbr_acts_of_union	The Acts of Union
city_upon_a_hill	City Upon a Hill
british_merchant_navy	Establish British Merchant Navy
gbr_the_royal_society	The Royal Society
reform_of_comission_buying	Reform of Commission Buying
british_industrialization	Early Industrialization
britanna_rules_the_waves	Britannia Rules the Waves
kung_och_riksdag	Kung och Riksdag
swedish_steel	Swedish Steel
hakkapelitta	The 'Hakkapeliitta'
indelningsverket	Indelningsverket
swedish_absolutism	Swedish Absolutism
produktplakatet	Produktplakatet
union_and_security_act	Union and Security Act
gatherers_of_tribute	Gatherers of Tribute
legacy_of_dmitriy_donskoi	Legacy of Dmitriy Donskoi
seat_of_metropolitan_bishop	Seat of Metropolitan Bishop
pomestnoe_voisko	Pomestnoe Voisko
strength_of_the_boyars	Strength of the Boyars
zasechnaya_cherta	Zasechnaya Cherta
descendants_of_byzantine_emperors	Descendants of Byzantine Emperors
land_of_the_rus	Land of the Rus
siberian_frontier	Siberian Frontier
russian_artillery_yard	Russian Artillery Yard
life_long_conscription	Life-Long Conscription
abolish_the_mestnichestvo	Abolish the Mestnichestvo
table_of_ranks	The Table of Ranks
curriculum_of_the_cadet_corps	Broaden the curriculum of the Cadet Corps
devout_catholisism	Devout Catholicism
inter_caetera	Inter Caetera
gold_fleet	Treasure Fleet
spanish_armada	A Spanish Armada
spa_casa_de_contracion	Casa de Contratación
spa_cortes	Rein in the Cortes
siglo_de_oro	Siglo de Oro
the_reconquista	The Reconquista
spanish_inquisition	Spanish Inquisition
cabildos	Cabildos
inter_caetera	Inter Caetera
infantas	Infantas
salamanca_scholars	School of Salamanca
nueva_planta	Nueva Planta
amsterdam_wisselbank	Found the Amsterdam Wisselbank
dutch_trading_spirit	Dutch Trading Spirit
polders	Polders
instructie_voor_de_admiraliteiten	Instructie voor de Admiraliteiten
embrace_humanism	Embrace Humanism
army_sappers	Army Sappers
platoon_fire	Platoon Fire
nordic_rulers_legacy	Nordic Rulers Legacy
vornedskab	Vornedskap
old_naval_traditions	Old Naval Traditions
rentekammer	Found the Rentekammer
klaedekammer	Reorganize the Klaedekammer
expanded_dockyards	Found the Copenhagen Dockyard
den_danske_lov	Den Danske Lov
french_language_in_all_courts	French Language in All Courts
elan	Elan!
estates_general	Estates General
native_trading_principles	Native Trading Principles
vauban_fortifications	Vauban Fortifications
the_philosophes	The Philosophes
