aac_charlemagne_capital	Charlemagne's Capital
aac_free_city	Imperial Free City
aac_spa	Spa City
aac_guilds	Guild and Government
aac_expel_heretics	Expel Heretical Officials
aac_baroque	Baroque Architecture
aac_congresses	Congresses of Aachen
aba_highland_charge	Highland Charge
aba_episcopalianism	Episcopalianism
aba_highland_clans	The Highland Clans
aba_storm_the_castle	Storming the Castle
aba_the_wallace	The Wallace
aba_arming_act	The Arming Act
aba_ossian	Ossian
ABB_geez	Ge'ez
ABB_aksumite_coinage	Aksumite Coinage
ABB_cultural_crossroads	Cultural Crossroads
ABB_confluence_of_the_nile	Confluence of the Nile
ABB_mythical_punt	Mythical Punt
ABB_royal_stelae	Royal Stelae
ABB_arabian_expansion	Arabian Expansion
ABE_Ndakinna	Ndakinna
ABE_Odanak	Odanak
ABE_cultivation_of_crops	Cultivation Of Crops
ABE_council_of_elders	Council of Elders
ABE_three_truths	The Three Truths
ABE_natural_builders	Natural Builders
ABE_story_telling	Story Telling
ABE_council_of_elders	Council of Elders
ABI_mother_town	Mother Town
ABI_stomp_dance	Stomp Dance
ABI_frontier_expansion	Frontier Expansion
ABI_ceremonial_peace	Ceremonial Peace
ABI_peace_with_tribes	Peace with other tribes
ABI_migrating_and_expanding	Migrating and Expanding
ACH_crusader_stop	Crusader Stopover
ACH_St_Paul_before_corinth	St Paul
ACH_agia_lavra	Agia Lavra
ACH_forest_and_mountains	Forest and Mountains
ACH_crusader_state	Crusader State
ACH_greek_senate	Greek Senate
ACH_dolmens	Dolmens
ACO_arable_farming	Arable Farming
ACO_brick_buildings	Brick Buildings
ACO_raiding_tribes	Raiding Tribes
ACO_sky_city	Sky City
ACO_desert_land	Desert Lands
ACO_theocracy	Acoman Theocracy
ACO_fire_pits	Fire Pits
ADA_Zeila	Zeila
ADA_Islamic_influence	Islamic Influence
ADA_Yusuf	Yusuf
ADA_adalite_infantry	Adalite Infantry
ADA_adalite_cavalry	Adalite Cavalry
ADA_city_of_dakkar	City of Dakkar
